Year,Month,Sector,Report_Type,Province,Count,Amount,Date,Postal_Code_Prefix
2018,6,Money Services Businesses,Electronic Funds Transfer Report,Manitoba,9,12087.46,2018-06-01,S9N
2022,5,Banking,Casino Disbursement Report,Quebec,12,13999.63,2022-05-01,J6K
2022,9,Money Services Businesses,Large Cash Transaction Report,British Columbia,6,2630.58,2022-09-01,C2L
2016,12,Banking,Suspicious Transaction Report,Northwest Territories,12,12328.24,2016-12-01,R5K
2016,11,Life Insurance,Suspicious Transaction Report,Newfoundland and Labrador,11,3641.37,2016-11-01,E0J
2017,2,Life Insurance,Electronic Funds Transfer Report,Quebec,14,5802.7,2017-02-01,E0E
2016,2,Money Services Businesses,Large Cash Transaction Report,Alberta,11,6896.21,2016-02-01,T4Y
2019,12,Securities Dealers,Large Cash Transaction Report,Nova Scotia,11,763.81,2019-12-01,L5V
2015,3,Banking,Suspicious Transaction Report,New Brunswick,14,40405.36,2015-03-01,K4G
2021,4,Banking,Suspicious Transaction Report,Northwest Territories,10,23752.49,2021-04-01,N0Y
2022,9,Banking,Casino Disbursement Report,British Columbia,8,14052.39,2022-09-01,V3G
2018,11,Banking,Electronic Funds Transfer Report,Prince Edward Island,13,3878.06,2018-11-01,R1B
2021,6,Life Insurance,Large Cash Transaction Report,Prince Edward Island,7,1504.58,2021-06-01,C0H
2023,9,Accountants,Large Cash Transaction Report,Newfoundland and Labrador,13,15013.47,2023-09-01,C2A
2021,5,Banking,Casino Disbursement Report,New Brunswick,10,2548.25,2021-05-01,L3C
2016,9,Banking,Suspicious Transaction Report,Saskatchewan,14,2735.64,2016-09-01,B1R
2016,9,Real Estate,Electronic Funds Transfer Report,Nunavut,12,739.97,2016-09-01,E0W
2024,1,Money Services Businesses,Suspicious Transaction Report,New Brunswick,8,3629.01,2024-01-01,Y9W
2024,9,Securities Dealers,Electronic Funds Transfer Report,Northwest Territories,7,997.07,2024-09-01,X9B
2024,7,Notaries,Large Cash Transaction Report,Prince Edward Island,8,603.1,2024-07-01,H6L
2020,11,Money Services Businesses,Large Cash Transaction Report,New Brunswick,10,5519.14,2020-11-01,T9N
2022,8,Money Services Businesses,Electronic Funds Transfer Report,British Columbia,10,12038.05,2022-08-01,B5C
2024,3,Money Services Businesses,Suspicious Transaction Report,Nova Scotia,5,4145.4,2024-03-01,J7M
2024,1,Banking,Suspicious Transaction Report,New Brunswick,10,1403.61,2024-01-01,X9Z
2017,4,Securities Dealers,Large Cash Transaction Report,Nunavut,11,484.52,2017-04-01,H5P
2015,1,Banking,Large Cash Transaction Report,Saskatchewan,8,2782.44,2015-01-01,G3L
2015,1,Securities Dealers,Suspicious Transaction Report,Saskatchewan,12,19134.72,2015-01-01,S8K
2016,4,Banking,Suspicious Transaction Report,Nova Scotia,12,94.65,2016-04-01,L7J
2024,8,Securities Dealers,Suspicious Transaction Report,Yukon,12,35229.97,2024-08-01,K6V
2020,12,Securities Dealers,Large Cash Transaction Report,Yukon,12,16100.73,2020-12-01,P7B
2016,1,Banking,Casino Disbursement Report,Alberta,10,26644.4,2016-01-01,L2R
2020,10,Banking,Suspicious Transaction Report,Prince Edward Island,11,21600.44,2020-10-01,B8H
2015,10,Life Insurance,Suspicious Transaction Report,Yukon,9,5368.99,2015-10-01,J5B
2023,12,Securities Dealers,Large Cash Transaction Report,Prince Edward Island,12,12429.32,2023-12-01,V2E
2021,9,Real Estate,Large Cash Transaction Report,Newfoundland and Labrador,5,25790.59,2021-09-01,M7B
2015,6,Real Estate,Electronic Funds Transfer Report,British Columbia,15,5707.54,2015-06-01,M9B
2023,5,Banking,Suspicious Transaction Report,Nova Scotia,6,8442.07,2023-05-01,A4J
2023,9,Securities Dealers,Large Cash Transaction Report,Newfoundland and Labrador,9,10607.81,2023-09-01,V3R
2024,9,Life Insurance,Suspicious Transaction Report,New Brunswick,12,250.38,2024-09-01,J1X
2020,9,Securities Dealers,Suspicious Transaction Report,Nova Scotia,11,27319.19,2020-09-01,J0T
2016,12,Real Estate,Electronic Funds Transfer Report,Yukon,9,18473.89,2016-12-01,V1E
2016,3,Money Services Businesses,Electronic Funds Transfer Report,Manitoba,6,4963.11,2016-03-01,N8K
2022,12,Money Services Businesses,Suspicious Transaction Report,Quebec,9,9650.03,2022-12-01,G0M
2023,12,Life Insurance,Large Cash Transaction Report,Yukon,10,10100.25,2023-12-01,S3M
2018,8,Banking,Suspicious Transaction Report,Quebec,12,15447.35,2018-08-01,J0Y
2016,10,Money Services Businesses,Electronic Funds Transfer Report,Alberta,14,3230.06,2016-10-01,E2B
2019,4,Banking,Suspicious Transaction Report,Manitoba,11,8180.15,2019-04-01,X3A
2021,4,Banking,Suspicious Transaction Report,Nunavut,13,1825.26,2021-04-01,B9E
2018,12,Banking,Casino Disbursement Report,Alberta,14,1543.41,2018-12-01,K9W
2023,7,Money Services Businesses,Large Cash Transaction Report,Northwest Territories,7,28012.24,2023-07-01,E2M
2018,8,Real Estate,Large Cash Transaction Report,Quebec,11,1578.86,2018-08-01,R9V
2022,4,Banking,Electronic Funds Transfer Report,Alberta,6,29993.67,2022-04-01,M4T
2017,11,Life Insurance,Large Cash Transaction Report,Northwest Territories,6,28226.23,2017-11-01,C8L
2020,10,Banking,Large Cash Transaction Report,Yukon,6,3826.84,2020-10-01,Y7Z
2020,6,Banking,Suspicious Transaction Report,Manitoba,7,17574.94,2020-06-01,P5Z
2017,1,Casinos,Casino Disbursement Report,Alberta,13,7094.18,2017-01-01,N9L
2016,2,Banking,Suspicious Transaction Report,Saskatchewan,7,1277.02,2016-02-01,E3S
2020,12,Banking,Electronic Funds Transfer Report,Yukon,10,5141.38,2020-12-01,L8M
2021,5,Banking,Electronic Funds Transfer Report,Prince Edward Island,10,13140.08,2021-05-01,J5B
2021,4,Banking,Large Cash Transaction Report,Nova Scotia,8,4707.22,2021-04-01,R2N
2024,3,Securities Dealers,Suspicious Transaction Report,Manitoba,9,8443.33,2024-03-01,C0B
2015,11,Banking,Suspicious Transaction Report,Newfoundland and Labrador,13,3964.33,2015-11-01,C5P
2020,6,Securities Dealers,Large Cash Transaction Report,Yukon,10,9292.5,2020-06-01,H3P
2023,10,Securities Dealers,Electronic Funds Transfer Report,Alberta,17,2057.5,2023-10-01,Y8G
2023,6,Money Services Businesses,Electronic Funds Transfer Report,Northwest Territories,12,9546.94,2023-06-01,N1Y
2016,11,Real Estate,Large Cash Transaction Report,Prince Edward Island,8,15616.38,2016-11-01,G5M
2018,10,Banking,Casino Disbursement Report,Quebec,7,2486.76,2018-10-01,H8E
2020,8,Securities Dealers,Casino Disbursement Report,Northwest Territories,10,1659.56,2020-08-01,X5L
2018,2,Securities Dealers,Large Cash Transaction Report,Prince Edward Island,11,8388.42,2018-02-01,R5K
2023,7,Banking,Suspicious Transaction Report,New Brunswick,12,2076.74,2023-07-01,A4H
2016,7,Real Estate,Large Cash Transaction Report,Alberta,11,24674.49,2016-07-01,R2A
2024,2,Money Services Businesses,Electronic Funds Transfer Report,Alberta,5,7392.94,2024-02-01,E3T
2020,6,Banking,Large Cash Transaction Report,British Columbia,14,12417.75,2020-06-01,C4R
2015,5,Banking,Suspicious Transaction Report,Nunavut,8,8575.21,2015-05-01,E9B
2023,2,Banking,Electronic Funds Transfer Report,Newfoundland and Labrador,16,2432.66,2023-02-01,B2C
2015,9,Real Estate,Large Cash Transaction Report,Alberta,7,8722.0,2015-09-01,B3Z
2022,8,Life Insurance,Casino Disbursement Report,Quebec,14,22675.74,2022-08-01,X3J
2023,7,Securities Dealers,Large Cash Transaction Report,Northwest Territories,11,28302.8,2023-07-01,T5V
2015,6,Banking,Casino Disbursement Report,Ontario,8,8543.32,2015-06-01,X5P
2015,5,Securities Dealers,Suspicious Transaction Report,Nunavut,9,12174.0,2015-05-01,E0B
2024,9,Real Estate,Electronic Funds Transfer Report,Ontario,9,3911.25,2024-09-01,K5X
2021,5,Securities Dealers,Suspicious Transaction Report,New Brunswick,5,9346.9,2021-05-01,B5B
2024,6,Banking,Electronic Funds Transfer Report,Yukon,8,14946.49,2024-06-01,J5H
2019,3,Banking,Casino Disbursement Report,Yukon,9,34010.23,2019-03-01,B1P
2017,9,Banking,Large Cash Transaction Report,Ontario,12,9047.67,2017-09-01,K2S
2023,11,Banking,Electronic Funds Transfer Report,Manitoba,8,1753.18,2023-11-01,R6N
2016,8,Life Insurance,Casino Disbursement Report,Yukon,7,23644.5,2016-08-01,G1Y
2020,9,Banking,Suspicious Transaction Report,Yukon,12,8373.29,2020-09-01,B9L
2018,1,Real Estate,Large Cash Transaction Report,New Brunswick,18,1658.85,2018-01-01,K8H
2019,1,Money Services Businesses,Electronic Funds Transfer Report,Nova Scotia,10,5001.23,2019-01-01,E8Z
2016,2,Securities Dealers,Large Cash Transaction Report,Nova Scotia,16,5001.36,2016-02-01,E6L
2015,4,Money Services Businesses,Electronic Funds Transfer Report,New Brunswick,7,2431.41,2015-04-01,K9W
2023,10,Banking,Large Cash Transaction Report,Northwest Territories,6,956.56,2023-10-01,T7X
2017,5,Banking,Electronic Funds Transfer Report,British Columbia,12,4957.21,2017-05-01,N1R
2020,7,Accountants,Suspicious Transaction Report,Manitoba,12,8118.26,2020-07-01,E9Y
2023,4,Money Services Businesses,Suspicious Transaction Report,Quebec,16,766.09,2023-04-01,K2N
2015,1,Banking,Electronic Funds Transfer Report,Manitoba,7,68530.14,2015-01-01,B1Z
2019,8,Banking,Large Cash Transaction Report,Yukon,6,5969.82,2019-08-01,P4J
2018,11,Banking,Suspicious Transaction Report,Manitoba,12,2995.56,2018-11-01,M3K
2017,3,Banking,Casino Disbursement Report,Quebec,7,1195.14,2017-03-01,J0E
2016,9,Banking,Large Cash Transaction Report,Prince Edward Island,9,86161.04,2016-09-01,G4N
2017,2,Banking,Suspicious Transaction Report,Yukon,4,6440.86,2017-02-01,M9J
2015,11,Money Services Businesses,Large Cash Transaction Report,Nunavut,6,8920.66,2015-11-01,S8W
2015,1,Real Estate,Large Cash Transaction Report,Saskatchewan,6,935.93,2015-01-01,H9W
2022,10,Banking,Casino Disbursement Report,Ontario,7,4033.69,2022-10-01,N3N
2019,8,Securities Dealers,Electronic Funds Transfer Report,New Brunswick,7,24866.41,2019-08-01,G3B
2016,3,Banking,Large Cash Transaction Report,Northwest Territories,7,4286.99,2016-03-01,A6R
2017,1,Banking,Large Cash Transaction Report,Ontario,13,40645.78,2017-01-01,H4B
2016,11,Money Services Businesses,Casino Disbursement Report,British Columbia,10,26740.9,2016-11-01,L1R
2024,3,Real Estate,Large Cash Transaction Report,Ontario,2,2902.06,2024-03-01,A8K
2016,8,Banking,Suspicious Transaction Report,Quebec,12,131857.18,2016-08-01,N2Z
2018,11,Securities Dealers,Large Cash Transaction Report,Nova Scotia,10,30645.81,2018-11-01,T0A
2018,4,Accountants,Suspicious Transaction Report,Nova Scotia,11,19316.69,2018-04-01,Y1B
2021,10,Life Insurance,Casino Disbursement Report,Yukon,9,5605.77,2021-10-01,P6A
2016,11,Banking,Electronic Funds Transfer Report,Northwest Territories,7,2701.54,2016-11-01,B3N
2023,7,Banking,Suspicious Transaction Report,Manitoba,2,2254.01,2023-07-01,H9T
2021,8,Casinos,Suspicious Transaction Report,Manitoba,8,578.35,2021-08-01,V6Y
2018,7,Banking,Suspicious Transaction Report,Nova Scotia,9,9365.05,2018-07-01,L8N
2021,1,Securities Dealers,Large Cash Transaction Report,Prince Edward Island,13,42093.51,2021-01-01,C5P
2024,4,Securities Dealers,Large Cash Transaction Report,Northwest Territories,13,32972.88,2024-04-01,S4K
2015,10,Securities Dealers,Large Cash Transaction Report,Nunavut,14,15263.06,2015-10-01,R5J
2021,9,Banking,Electronic Funds Transfer Report,Prince Edward Island,9,10546.87,2021-09-01,X0S
2020,7,Money Services Businesses,Casino Disbursement Report,Manitoba,8,8310.75,2020-07-01,R4N
2023,12,Banking,Suspicious Transaction Report,New Brunswick,6,13683.61,2023-12-01,B6W
2022,1,Money Services Businesses,Suspicious Transaction Report,British Columbia,12,1361.61,2022-01-01,S2V
2016,8,Securities Dealers,Electronic Funds Transfer Report,Quebec,7,9893.14,2016-08-01,V5J
2017,4,Banking,Large Cash Transaction Report,Prince Edward Island,10,1718.6,2017-04-01,V5B
2017,12,Money Services Businesses,Suspicious Transaction Report,Alberta,8,4855.37,2017-12-01,T4G
2020,7,Accountants,Suspicious Transaction Report,Nova Scotia,5,11082.46,2020-07-01,M0G
2016,6,Real Estate,Suspicious Transaction Report,Newfoundland and Labrador,5,14711.54,2016-06-01,N0X
2016,7,Banking,Suspicious Transaction Report,British Columbia,10,5677.0,2016-07-01,X7L
2018,10,Securities Dealers,Casino Disbursement Report,Northwest Territories,14,18234.44,2018-10-01,J2B
2015,10,Money Services Businesses,Large Cash Transaction Report,British Columbia,10,355.63,2015-10-01,X8H
2015,1,Money Services Businesses,Suspicious Transaction Report,Northwest Territories,12,20576.49,2015-01-01,J9W
2015,12,Life Insurance,Suspicious Transaction Report,Nova Scotia,11,24214.44,2015-12-01,C8K
2019,6,Accountants,Suspicious Transaction Report,Ontario,7,12177.58,2019-06-01,V7B
2023,12,Banking,Large Cash Transaction Report,Nova Scotia,14,33033.27,2023-12-01,B6E
2018,3,Life Insurance,Electronic Funds Transfer Report,Quebec,10,801.9,2018-03-01,C3H
2022,10,Banking,Suspicious Transaction Report,Prince Edward Island,18,18495.32,2022-10-01,S2T
2021,4,Real Estate,Casino Disbursement Report,Ontario,7,64194.52,2021-04-01,R9E
2020,1,Life Insurance,Electronic Funds Transfer Report,Prince Edward Island,9,1146.8,2020-01-01,L6W
2023,10,Securities Dealers,Electronic Funds Transfer Report,Newfoundland and Labrador,9,462.13,2023-10-01,T1E
2024,8,Real Estate,Suspicious Transaction Report,Ontario,13,33259.65,2024-08-01,C3S
2015,2,Money Services Businesses,Suspicious Transaction Report,New Brunswick,5,1473.11,2015-02-01,J7W
2021,3,Money Services Businesses,Large Cash Transaction Report,Prince Edward Island,7,18365.88,2021-03-01,B5Z
2023,7,Casinos,Large Cash Transaction Report,Nova Scotia,8,790.32,2023-07-01,J6W
2024,2,Banking,Suspicious Transaction Report,Prince Edward Island,8,11648.37,2024-02-01,J3G
2016,12,Notaries,Casino Disbursement Report,Newfoundland and Labrador,9,11458.36,2016-12-01,M6G
2018,4,Banking,Electronic Funds Transfer Report,Nunavut,6,15997.6,2018-04-01,X0Y
2019,12,Securities Dealers,Suspicious Transaction Report,Manitoba,7,9038.28,2019-12-01,V9Y
2019,7,Banking,Electronic Funds Transfer Report,British Columbia,8,720.73,2019-07-01,T9V
2021,12,Banking,Large Cash Transaction Report,Ontario,9,4686.48,2021-12-01,T6J
2024,3,Money Services Businesses,Suspicious Transaction Report,Quebec,13,3212.77,2024-03-01,S6R
2022,2,Banking,Suspicious Transaction Report,Saskatchewan,13,14952.03,2022-02-01,M1L
2023,8,Casinos,Suspicious Transaction Report,New Brunswick,11,3101.39,2023-08-01,K5E
2019,2,Banking,Suspicious Transaction Report,Newfoundland and Labrador,6,6908.58,2019-02-01,Y3N
2016,10,Banking,Suspicious Transaction Report,New Brunswick,10,23657.47,2016-10-01,X2X
2016,7,Real Estate,Large Cash Transaction Report,Quebec,9,2243.12,2016-07-01,C6Y
2019,11,Life Insurance,Suspicious Transaction Report,Ontario,13,30131.25,2019-11-01,H5G
2019,3,Money Services Businesses,Suspicious Transaction Report,Prince Edward Island,14,1323.35,2019-03-01,S9H
2019,4,Banking,Suspicious Transaction Report,Alberta,14,7620.93,2019-04-01,V8C
2020,6,Life Insurance,Suspicious Transaction Report,Manitoba,7,10561.81,2020-06-01,R6C
2022,11,Securities Dealers,Large Cash Transaction Report,Prince Edward Island,8,22285.21,2022-11-01,A6V
2019,3,Notaries,Suspicious Transaction Report,Saskatchewan,7,10325.11,2019-03-01,S0K
2017,1,Money Services Businesses,Large Cash Transaction Report,Alberta,10,4161.64,2017-01-01,K8B
2023,12,Real Estate,Suspicious Transaction Report,Manitoba,15,4726.11,2023-12-01,J2S
2018,8,Life Insurance,Suspicious Transaction Report,New Brunswick,6,29977.85,2018-08-01,N6H
2022,4,Money Services Businesses,Electronic Funds Transfer Report,Prince Edward Island,6,2430.65,2022-04-01,X6W
2023,1,Life Insurance,Large Cash Transaction Report,British Columbia,15,917.35,2023-01-01,K4E
2021,2,Money Services Businesses,Large Cash Transaction Report,Ontario,14,6748.87,2021-02-01,G5N
2017,6,Banking,Suspicious Transaction Report,Newfoundland and Labrador,12,8135.91,2017-06-01,Y1H
2024,1,Banking,Large Cash Transaction Report,Newfoundland and Labrador,8,3301.31,2024-01-01,R0R
2020,9,Banking,Casino Disbursement Report,Quebec,7,6655.04,2020-09-01,C3M
2021,7,Life Insurance,Suspicious Transaction Report,British Columbia,12,1494.9,2021-07-01,N9K
2021,8,Money Services Businesses,Suspicious Transaction Report,New Brunswick,7,2365.98,2021-08-01,K8L
2022,8,Money Services Businesses,Large Cash Transaction Report,British Columbia,9,15735.71,2022-08-01,Y2M
2024,6,Real Estate,Suspicious Transaction Report,British Columbia,10,7723.79,2024-06-01,Y1Z
2019,8,Securities Dealers,Casino Disbursement Report,Saskatchewan,14,951.16,2019-08-01,N7S
2019,7,Banking,Large Cash Transaction Report,Yukon,12,59925.92,2019-07-01,R6Z
2016,1,Banking,Suspicious Transaction Report,Saskatchewan,17,2205.53,2016-01-01,J2V
2016,3,Banking,Suspicious Transaction Report,Nova Scotia,13,4048.9,2016-03-01,B9K
2018,9,Banking,Suspicious Transaction Report,Prince Edward Island,8,35487.87,2018-09-01,Y9L
2021,8,Banking,Suspicious Transaction Report,Alberta,12,2512.64,2021-08-01,V4K
2022,5,Money Services Businesses,Large Cash Transaction Report,Manitoba,5,47514.05,2022-05-01,M8R
2017,1,Banking,Suspicious Transaction Report,Prince Edward Island,13,25604.14,2017-01-01,X5M
2015,2,Banking,Suspicious Transaction Report,British Columbia,10,10202.53,2015-02-01,X8R
2018,10,Accountants,Suspicious Transaction Report,Quebec,3,9234.44,2018-10-01,G1V
2020,10,Notaries,Electronic Funds Transfer Report,British Columbia,11,6939.55,2020-10-01,K7T
2020,9,Money Services Businesses,Suspicious Transaction Report,Nunavut,9,14596.09,2020-09-01,C4P
2023,12,Banking,Suspicious Transaction Report,British Columbia,11,1074.48,2023-12-01,Y9W
2021,10,Real Estate,Suspicious Transaction Report,Yukon,14,18978.18,2021-10-01,X0C
2023,8,Securities Dealers,Suspicious Transaction Report,Quebec,7,120785.52,2023-08-01,B3N
2024,9,Banking,Casino Disbursement Report,Ontario,9,5438.12,2024-09-01,J2C
2019,2,Money Services Businesses,Large Cash Transaction Report,Northwest Territories,10,4546.24,2019-02-01,C7G
2019,3,Banking,Suspicious Transaction Report,British Columbia,7,2475.81,2019-03-01,K6T
2019,3,Accountants,Casino Disbursement Report,Ontario,8,9030.25,2019-03-01,G0L
2019,1,Real Estate,Suspicious Transaction Report,New Brunswick,12,1187.42,2019-01-01,M1H
2018,2,Banking,Electronic Funds Transfer Report,Manitoba,11,2502.17,2018-02-01,M0L
2020,10,Securities Dealers,Large Cash Transaction Report,Nunavut,7,9798.57,2020-10-01,G0L
2015,5,Securities Dealers,Large Cash Transaction Report,Saskatchewan,10,11229.01,2015-05-01,J6X
2016,7,Real Estate,Large Cash Transaction Report,Nunavut,14,18466.76,2016-07-01,X6T
2023,6,Securities Dealers,Electronic Funds Transfer Report,Yukon,8,4668.87,2023-06-01,N4P
2020,2,Banking,Large Cash Transaction Report,Prince Edward Island,8,2367.53,2020-02-01,K8R
2020,8,Banking,Suspicious Transaction Report,Nova Scotia,9,768.39,2020-08-01,L8K
2024,4,Banking,Suspicious Transaction Report,Nova Scotia,9,17344.6,2024-04-01,Y2K
2018,11,Casinos,Suspicious Transaction Report,Alberta,13,5679.31,2018-11-01,M1L
2019,2,Casinos,Large Cash Transaction Report,Saskatchewan,13,10016.28,2019-02-01,N3C
2023,4,Banking,Suspicious Transaction Report,New Brunswick,7,7370.79,2023-04-01,G9S
2016,8,Banking,Suspicious Transaction Report,Saskatchewan,21,18673.17,2016-08-01,C5T
2017,1,Securities Dealers,Large Cash Transaction Report,Nova Scotia,12,1407.74,2017-01-01,L6M
2024,11,Life Insurance,Large Cash Transaction Report,Yukon,11,611.24,2024-11-01,R7V
2022,9,Banking,Suspicious Transaction Report,British Columbia,11,7669.61,2022-09-01,N7T
2023,8,Securities Dealers,Suspicious Transaction Report,Newfoundland and Labrador,10,12325.28,2023-08-01,E0S
2019,8,Banking,Suspicious Transaction Report,Prince Edward Island,9,9401.44,2019-08-01,B7S
2017,10,Banking,Suspicious Transaction Report,Quebec,9,219.66,2017-10-01,V6P
2015,9,Life Insurance,Large Cash Transaction Report,Northwest Territories,13,721.77,2015-09-01,B7T
2016,7,Securities Dealers,Suspicious Transaction Report,New Brunswick,8,4874.07,2016-07-01,M2T
2018,11,Securities Dealers,Electronic Funds Transfer Report,New Brunswick,13,5740.23,2018-11-01,Y1Z
2018,9,Life Insurance,Suspicious Transaction Report,Nunavut,12,9133.68,2018-09-01,S2E
2019,1,Life Insurance,Suspicious Transaction Report,Quebec,10,4123.66,2019-01-01,H0M
2023,1,Banking,Casino Disbursement Report,Newfoundland and Labrador,10,10968.86,2023-01-01,E0J
2016,12,Securities Dealers,Large Cash Transaction Report,British Columbia,11,370.14,2016-12-01,P2M
2016,4,Real Estate,Suspicious Transaction Report,Prince Edward Island,10,16645.83,2016-04-01,Y7C
2019,2,Securities Dealers,Electronic Funds Transfer Report,Saskatchewan,10,4309.4,2019-02-01,N3X
2016,8,Money Services Businesses,Suspicious Transaction Report,Northwest Territories,8,8317.66,2016-08-01,G0G
2024,1,Banking,Casino Disbursement Report,Alberta,8,7821.92,2024-01-01,L5K
2019,4,Banking,Suspicious Transaction Report,Manitoba,5,15655.41,2019-04-01,E1X
2019,11,Banking,Electronic Funds Transfer Report,British Columbia,10,2722.74,2019-11-01,G1S
2021,11,Securities Dealers,Suspicious Transaction Report,Nunavut,12,1964.4,2021-11-01,M8A
2018,9,Securities Dealers,Casino Disbursement Report,Prince Edward Island,5,25288.41,2018-09-01,H1C
2016,2,Real Estate,Large Cash Transaction Report,New Brunswick,11,35660.73,2016-02-01,V0S
2022,6,Securities Dealers,Suspicious Transaction Report,Prince Edward Island,9,5175.61,2022-06-01,N7N
2015,4,Money Services Businesses,Electronic Funds Transfer Report,Nunavut,14,15934.64,2015-04-01,X0R
2024,12,Money Services Businesses,Suspicious Transaction Report,Prince Edward Island,14,1320.27,2024-12-01,E7G
2015,4,Securities Dealers,Electronic Funds Transfer Report,New Brunswick,10,6665.35,2015-04-01,P7Z
2021,6,Life Insurance,Large Cash Transaction Report,Nova Scotia,4,13024.87,2021-06-01,P6K
2018,10,Life Insurance,Electronic Funds Transfer Report,Nova Scotia,9,3304.59,2018-10-01,P5J
2017,4,Securities Dealers,Suspicious Transaction Report,Quebec,8,4818.08,2017-04-01,E5E
2015,9,Banking,Casino Disbursement Report,Prince Edward Island,9,21279.52,2015-09-01,G5P
2022,12,Notaries,Large Cash Transaction Report,Nunavut,9,3706.48,2022-12-01,A4K
2022,12,Money Services Businesses,Suspicious Transaction Report,Saskatchewan,6,10728.74,2022-12-01,M6E
2018,8,Life Insurance,Suspicious Transaction Report,Alberta,10,2725.89,2018-08-01,V0T
2016,8,Life Insurance,Electronic Funds Transfer Report,Northwest Territories,9,10282.62,2016-08-01,B2A
2018,5,Money Services Businesses,Electronic Funds Transfer Report,Newfoundland and Labrador,11,352.2,2018-05-01,L4E
2021,6,Securities Dealers,Large Cash Transaction Report,Manitoba,10,4699.89,2021-06-01,C9N
2018,1,Notaries,Suspicious Transaction Report,Saskatchewan,7,1455.0,2018-01-01,E5R
2017,1,Life Insurance,Suspicious Transaction Report,Nova Scotia,5,12983.18,2017-01-01,L1Y
2024,9,Real Estate,Large Cash Transaction Report,Quebec,12,7196.66,2024-09-01,E6Y
2015,12,Securities Dealers,Suspicious Transaction Report,Ontario,8,17369.91,2015-12-01,J7J
2023,4,Casinos,Suspicious Transaction Report,Saskatchewan,14,7497.46,2023-04-01,N8T
2019,3,Life Insurance,Large Cash Transaction Report,Newfoundland and Labrador,10,2930.62,2019-03-01,T3P
2016,5,Life Insurance,Suspicious Transaction Report,Nova Scotia,16,8896.72,2016-05-01,H5R
2020,9,Banking,Suspicious Transaction Report,Nunavut,13,2123.15,2020-09-01,A3E
2016,9,Money Services Businesses,Suspicious Transaction Report,Nunavut,8,35815.04,2016-09-01,J0Y
2020,3,Banking,Large Cash Transaction Report,Newfoundland and Labrador,11,6244.86,2020-03-01,P5Y
2023,12,Money Services Businesses,Large Cash Transaction Report,Nunavut,10,1345.91,2023-12-01,B0C
2016,7,Money Services Businesses,Electronic Funds Transfer Report,Northwest Territories,7,622.79,2016-07-01,S2K
2015,3,Banking,Large Cash Transaction Report,British Columbia,7,5284.37,2015-03-01,S7X
2021,3,Securities Dealers,Suspicious Transaction Report,Yukon,6,5301.23,2021-03-01,K1T
2022,4,Securities Dealers,Electronic Funds Transfer Report,Manitoba,15,2209.73,2022-04-01,A3W
2016,2,Life Insurance,Large Cash Transaction Report,Saskatchewan,13,4568.04,2016-02-01,N6T
2018,6,Securities Dealers,Casino Disbursement Report,Saskatchewan,10,9757.36,2018-06-01,C8X
2022,5,Securities Dealers,Casino Disbursement Report,Manitoba,10,829.05,2022-05-01,L8R
2018,10,Life Insurance,Large Cash Transaction Report,Quebec,15,30905.37,2018-10-01,J7W
2023,10,Money Services Businesses,Casino Disbursement Report,Northwest Territories,14,3785.31,2023-10-01,M0K
2015,2,Notaries,Suspicious Transaction Report,Prince Edward Island,12,17305.19,2015-02-01,L3B
2024,12,Securities Dealers,Suspicious Transaction Report,British Columbia,4,17908.16,2024-12-01,Y2W
2021,10,Money Services Businesses,Suspicious Transaction Report,Saskatchewan,14,1532.39,2021-10-01,B6B
2017,2,Banking,Large Cash Transaction Report,Newfoundland and Labrador,11,56574.59,2017-02-01,T5P
2024,2,Real Estate,Large Cash Transaction Report,Prince Edward Island,8,1136.9,2024-02-01,V6X
2017,4,Life Insurance,Casino Disbursement Report,New Brunswick,10,3507.34,2017-04-01,Y6B
2021,3,Life Insurance,Large Cash Transaction Report,New Brunswick,13,49948.71,2021-03-01,B2E
2020,9,Banking,Electronic Funds Transfer Report,New Brunswick,12,2024.89,2020-09-01,C5V
2017,5,Notaries,Electronic Funds Transfer Report,Yukon,9,8242.33,2017-05-01,J7W
2016,12,Casinos,Large Cash Transaction Report,Northwest Territories,6,31006.17,2016-12-01,K2R
2020,1,Securities Dealers,Suspicious Transaction Report,Saskatchewan,8,16529.02,2020-01-01,B2W
2024,2,Money Services Businesses,Electronic Funds Transfer Report,Yukon,8,17591.73,2024-02-01,J0L
2021,7,Real Estate,Large Cash Transaction Report,Nunavut,12,12431.23,2021-07-01,M5K
2023,8,Securities Dealers,Electronic Funds Transfer Report,Northwest Territories,7,5719.94,2023-08-01,V6Y
2023,6,Money Services Businesses,Large Cash Transaction Report,British Columbia,12,59033.17,2023-06-01,S2W
2023,7,Money Services Businesses,Suspicious Transaction Report,Manitoba,7,8915.93,2023-07-01,A0S
2024,2,Money Services Businesses,Suspicious Transaction Report,Yukon,10,18406.39,2024-02-01,H1S
2015,12,Money Services Businesses,Suspicious Transaction Report,New Brunswick,4,7043.86,2015-12-01,G2T
2018,6,Securities Dealers,Suspicious Transaction Report,Yukon,12,13448.63,2018-06-01,L3P
2018,12,Securities Dealers,Electronic Funds Transfer Report,British Columbia,15,18153.28,2018-12-01,H1G
2024,6,Real Estate,Large Cash Transaction Report,Ontario,9,184.85,2024-06-01,V5W
2022,4,Real Estate,Suspicious Transaction Report,Nunavut,7,6159.39,2022-04-01,Y0Z
